id_config,execucao,seed,operador,populacao,geracoes,taxa_crossover,taxa_mutacao,distancia_final,melhor_rota
1,1,1000,OX,50,100,0.8,0.01,364,"[4, 6, 2, 9, 11, 13, 0, 10, 3, 5, 7, 12, 1, 14, 8]"
1,2,1001,OX,50,100,0.8,0.01,321,"[8, 4, 6, 2, 11, 13, 9, 1, 7, 5, 3, 10, 0, 12, 14]"
1,3,1002,OX,50,100,0.8,0.01,336,"[0, 12, 1, 14, 4, 8, 6, 2, 11, 13, 5, 7, 9, 3, 10]"
1,4,1003,OX,50,100,0.8,0.01,326,"[12, 0, 10, 3, 5, 13, 11, 2, 9, 7, 6, 4, 14, 8, 1]"
1,5,1004,OX,50,100,0.8,0.01,327,"[7, 8, 6, 4, 14, 1, 12, 0, 10, 3, 5, 13, 11, 2, 9]"
1,6,1005,OX,50,100,0.8,0.01,315,"[7, 9, 5, 3, 10, 0, 1, 12, 14, 8, 4, 6, 2, 11, 13]"
1,7,1006,OX,50,100,0.8,0.01,396,"[10, 0, 1, 7, 13, 11, 2, 12, 14, 4, 8, 6, 9, 5, 3]"
1,8,1007,OX,50,100,0.8,0.01,358,"[3, 10, 0, 14, 1, 12, 8, 4, 6, 2, 9, 13, 11, 7, 5]"
1,9,1008,OX,50,100,0.8,0.01,355,"[2, 11, 13, 5, 3, 7, 9, 1, 10, 0, 12, 8, 14, 4, 6]"
1,10,1009,OX,50,100,0.8,0.01,325,"[14, 12, 1, 0, 10, 3, 5, 7, 13, 9, 11, 2, 6, 4, 8]"
2,1,2000,PMX,50,100,0.8,0.01,362,"[11, 13, 7, 9, 12, 1, 5, 3, 10, 0, 14, 8, 4, 6, 2]"
2,2,2001,PMX,50,100,0.8,0.01,392,"[9, 1, 7, 11, 13, 5, 10, 3, 0, 12, 14, 4, 8, 6, 2]"
2,3,2002,PMX,50,100,0.8,0.01,359,"[1, 0, 10, 3, 7, 5, 9, 13, 11, 2, 6, 4, 8, 12, 14]"
2,4,2003,PMX,50,100,0.8,0.01,354,"[12, 0, 5, 3, 10, 1, 7, 9, 13, 11, 2, 6, 4, 14, 8]"
2,5,2004,PMX,50,100,0.8,0.01,346,"[3, 10, 0, 12, 1, 14, 4, 8, 6, 7, 9, 11, 2, 13, 5]"
2,6,2005,PMX,50,100,0.8,0.01,373,"[12, 9, 7, 0, 3, 10, 5, 13, 11, 2, 6, 4, 14, 8, 1]"
2,7,2006,PMX,50,100,0.8,0.01,436,"[10, 12, 0, 1, 14, 4, 13, 5, 9, 11, 2, 6, 8, 7, 3]"
2,8,2007,PMX,50,100,0.8,0.01,392,"[1, 10, 3, 5, 9, 11, 13, 7, 2, 4, 6, 8, 14, 12, 0]"
2,9,2008,PMX,50,100,0.8,0.01,344,"[0, 10, 3, 5, 7, 6, 2, 11, 13, 9, 8, 4, 14, 12, 1]"
2,10,2009,PMX,50,100,0.8,0.01,338,"[3, 5, 7, 13, 11, 9, 6, 2, 4, 8, 14, 1, 12, 0, 10]"
3,1,3000,OX,50,100,0.9,0.01,337,"[3, 10, 0, 12, 1, 7, 11, 2, 6, 4, 14, 8, 9, 13, 5]"
3,2,3001,OX,50,100,0.9,0.01,326,"[6, 4, 8, 14, 1, 12, 0, 3, 10, 5, 7, 9, 13, 11, 2]"
3,3,3002,OX,50,100,0.9,0.01,321,"[10, 0, 12, 1, 8, 14, 4, 6, 2, 9, 13, 11, 7, 5, 3]"
3,4,3003,OX,50,100,0.9,0.01,291,"[10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0]"
3,5,3004,OX,50,100,0.9,0.01,353,"[10, 0, 12, 1, 8, 4, 6, 14, 7, 9, 11, 2, 13, 5, 3]"
3,6,3005,OX,50,100,0.9,0.01,334,"[12, 0, 3, 5, 10, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1]"
3,7,3006,OX,50,100,0.9,0.01,319,"[0, 10, 3, 5, 9, 7, 13, 11, 2, 6, 8, 4, 14, 1, 12]"
3,8,3007,OX,50,100,0.9,0.01,339,"[12, 1, 0, 10, 7, 3, 5, 9, 13, 11, 2, 6, 4, 8, 14]"
3,9,3008,OX,50,100,0.9,0.01,325,"[13, 9, 7, 1, 5, 3, 10, 0, 12, 14, 8, 4, 6, 2, 11]"
3,10,3009,OX,50,100,0.9,0.01,364,"[11, 2, 6, 9, 8, 14, 4, 1, 12, 0, 10, 5, 3, 7, 13]"
4,1,4000,PMX,50,100,0.9,0.01,363,"[12, 0, 10, 3, 5, 1, 7, 11, 13, 9, 2, 6, 8, 4, 14]"
4,2,4001,PMX,50,100,0.9,0.01,362,"[2, 11, 13, 12, 0, 10, 3, 5, 7, 9, 1, 14, 4, 8, 6]"
4,3,4002,PMX,50,100,0.9,0.01,358,"[2, 6, 14, 4, 8, 9, 7, 1, 0, 12, 10, 3, 5, 13, 11]"
4,4,4003,PMX,50,100,0.9,0.01,394,"[4, 14, 1, 12, 0, 10, 6, 2, 11, 13, 5, 3, 9, 7, 8]"
4,5,4004,PMX,50,100,0.9,0.01,333,"[5, 13, 11, 2, 6, 8, 4, 14, 1, 12, 0, 10, 3, 7, 9]"
4,6,4005,PMX,50,100,0.9,0.01,368,"[1, 7, 8, 14, 4, 9, 6, 2, 13, 11, 5, 3, 10, 0, 12]"
4,7,4006,PMX,50,100,0.9,0.01,411,"[2, 13, 11, 7, 1, 14, 8, 4, 6, 9, 3, 5, 10, 0, 12]"
4,8,4007,PMX,50,100,0.9,0.01,397,"[12, 0, 1, 7, 10, 3, 5, 13, 6, 2, 11, 9, 4, 14, 8]"
4,9,4008,PMX,50,100,0.9,0.01,364,"[2, 4, 6, 14, 8, 1, 12, 0, 10, 3, 7, 5, 13, 11, 9]"
4,10,4009,PMX,50,100,0.9,0.01,330,"[5, 3, 10, 0, 12, 1, 4, 14, 8, 6, 2, 11, 13, 7, 9]"
5,1,5000,OX,50,100,0.8,0.05,333,"[12, 0, 10, 3, 7, 9, 5, 13, 11, 2, 6, 8, 4, 14, 1]"
5,2,5001,OX,50,100,0.8,0.05,369,"[10, 3, 11, 2, 6, 4, 8, 14, 9, 13, 5, 7, 1, 12, 0]"
5,3,5002,OX,50,100,0.8,0.05,325,"[3, 5, 7, 13, 11, 9, 2, 6, 8, 4, 14, 1, 12, 0, 10]"
5,4,5003,OX,50,100,0.8,0.05,291,"[14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12, 1]"
5,5,5004,OX,50,100,0.8,0.05,324,"[12, 0, 10, 3, 5, 13, 11, 2, 6, 8, 14, 4, 9, 7, 1]"
5,6,5005,OX,50,100,0.8,0.05,353,"[3, 5, 10, 0, 12, 14, 1, 7, 9, 8, 4, 6, 2, 11, 13]"
5,7,5006,OX,50,100,0.8,0.05,319,"[10, 0, 12, 1, 8, 14, 4, 6, 2, 9, 7, 11, 13, 5, 3]"
5,8,5007,OX,50,100,0.8,0.05,333,"[2, 11, 13, 9, 1, 7, 5, 3, 10, 0, 12, 14, 4, 8, 6]"
5,9,5008,OX,50,100,0.8,0.05,359,"[5, 13, 11, 2, 9, 6, 4, 8, 14, 12, 0, 1, 7, 3, 10]"
5,10,5009,OX,50,100,0.8,0.05,317,"[3, 5, 7, 11, 13, 9, 2, 6, 4, 8, 14, 1, 12, 0, 10]"
6,1,6000,PMX,50,100,0.8,0.05,325,"[3, 5, 13, 11, 9, 2, 6, 4, 14, 8, 7, 1, 12, 0, 10]"
6,2,6001,PMX,50,100,0.8,0.05,369,"[0, 7, 9, 6, 1, 12, 14, 8, 4, 2, 11, 13, 5, 3, 10]"
6,3,6002,PMX,50,100,0.8,0.05,325,"[14, 4, 6, 2, 9, 11, 13, 5, 3, 10, 0, 12, 1, 7, 8]"
6,4,6003,PMX,50,100,0.8,0.05,307,"[4, 6, 2, 11, 13, 5, 3, 10, 0, 12, 1, 7, 9, 8, 14]"
6,5,6004,PMX,50,100,0.8,0.05,339,"[4, 14, 8, 1, 12, 0, 10, 7, 3, 5, 13, 11, 9, 2, 6]"
6,6,6005,PMX,50,100,0.8,0.05,347,"[14, 12, 0, 10, 3, 5, 13, 11, 1, 7, 9, 2, 6, 4, 8]"
6,7,6006,PMX,50,100,0.8,0.05,295,"[0, 12, 1, 8, 14, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10]"
6,8,6007,PMX,50,100,0.8,0.05,311,"[4, 6, 2, 11, 13, 7, 9, 5, 3, 10, 0, 12, 1, 8, 14]"
6,9,6008,PMX,50,100,0.8,0.05,307,"[0, 10, 3, 5, 13, 11, 2, 6, 4, 14, 8, 9, 7, 1, 12]"
6,10,6009,PMX,50,100,0.8,0.05,331,"[9, 2, 11, 13, 5, 3, 10, 0, 12, 14, 4, 6, 8, 1, 7]"
7,1,7000,OX,50,100,0.9,0.05,315,"[12, 0, 10, 3, 5, 13, 11, 7, 9, 2, 6, 4, 8, 14, 1]"
7,2,7001,OX,50,100,0.9,0.05,307,"[2, 6, 4, 14, 8, 9, 7, 1, 12, 0, 10, 3, 5, 13, 11]"
7,3,7002,OX,50,100,0.9,0.05,291,"[12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1]"
7,4,7003,OX,50,100,0.9,0.05,329,"[5, 11, 13, 7, 9, 2, 6, 4, 8, 14, 12, 1, 0, 10, 3]"
7,5,7004,OX,50,100,0.9,0.05,339,"[11, 2, 8, 4, 6, 14, 12, 1, 0, 10, 3, 5, 7, 9, 13]"
7,6,7005,OX,50,100,0.9,0.05,291,"[10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3]"
7,7,7006,OX,50,100,0.9,0.05,303,"[13, 9, 7, 5, 3, 10, 0, 12, 1, 14, 4, 8, 6, 2, 11]"
7,8,7007,OX,50,100,0.9,0.05,331,"[12, 14, 4, 6, 8, 1, 7, 9, 2, 11, 13, 5, 3, 10, 0]"
7,9,7008,OX,50,100,0.9,0.05,291,"[14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12, 1]"
7,10,7009,OX,50,100,0.9,0.05,291,"[2, 6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11]"
8,1,8000,PMX,50,100,0.9,0.05,322,"[1, 14, 8, 4, 6, 7, 9, 2, 11, 13, 5, 3, 10, 0, 12]"
8,2,8001,PMX,50,100,0.9,0.05,299,"[3, 5, 7, 9, 11, 13, 2, 6, 4, 8, 14, 1, 12, 0, 10]"
8,3,8002,PMX,50,100,0.9,0.05,339,"[13, 11, 9, 2, 6, 4, 8, 14, 12, 0, 1, 7, 10, 3, 5]"
8,4,8003,PMX,50,100,0.9,0.05,321,"[7, 5, 3, 10, 0, 12, 1, 9, 13, 11, 2, 6, 4, 14, 8]"
8,5,8004,PMX,50,100,0.9,0.05,307,"[7, 9, 8, 14, 4, 6, 2, 11, 13, 5, 3, 10, 0, 12, 1]"
8,6,8005,PMX,50,100,0.9,0.05,325,"[6, 4, 8, 14, 12, 0, 10, 3, 5, 1, 7, 9, 13, 11, 2]"
8,7,8006,PMX,50,100,0.9,0.05,299,"[10, 3, 5, 7, 9, 11, 13, 2, 6, 4, 8, 14, 1, 12, 0]"
8,8,8007,PMX,50,100,0.9,0.05,303,"[4, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 8]"
8,9,8008,PMX,50,100,0.9,0.05,337,"[1, 14, 4, 6, 8, 9, 7, 2, 11, 13, 5, 3, 10, 0, 12]"
8,10,8009,PMX,50,100,0.9,0.05,291,"[11, 2, 6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13]"
9,1,9000,OX,100,100,0.8,0.01,333,"[13, 5, 3, 10, 7, 9, 1, 0, 12, 14, 8, 4, 6, 2, 11]"
9,2,9001,OX,100,100,0.8,0.01,347,"[11, 13, 9, 5, 7, 3, 10, 0, 12, 14, 1, 8, 4, 6, 2]"
9,3,9002,OX,100,100,0.8,0.01,376,"[2, 9, 8, 6, 4, 14, 12, 0, 7, 1, 10, 3, 5, 13, 11]"
9,4,9003,OX,100,100,0.8,0.01,315,"[12, 1, 14, 8, 4, 6, 2, 9, 7, 11, 13, 5, 3, 10, 0]"
9,5,9004,OX,100,100,0.8,0.01,299,"[3, 5, 7, 9, 11, 13, 2, 6, 4, 8, 14, 1, 12, 0, 10]"
9,6,9005,OX,100,100,0.8,0.01,299,"[13, 11, 2, 6, 4, 8, 14, 12, 1, 0, 10, 3, 5, 7, 9]"
9,7,9006,OX,100,100,0.8,0.01,340,"[10, 0, 7, 1, 12, 14, 8, 4, 6, 9, 2, 11, 13, 5, 3]"
9,8,9007,OX,100,100,0.8,0.01,295,"[6, 4, 14, 8, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2]"
9,9,9008,OX,100,100,0.8,0.01,333,"[8, 4, 6, 2, 11, 13, 5, 3, 10, 7, 9, 1, 0, 12, 14]"
9,10,9009,OX,100,100,0.8,0.01,295,"[2, 6, 4, 14, 8, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11]"
10,1,10000,PMX,100,100,0.8,0.01,367,"[4, 6, 2, 11, 13, 9, 14, 12, 0, 1, 10, 3, 5, 7, 8]"
10,2,10001,PMX,100,100,0.8,0.01,363,"[5, 3, 10, 7, 1, 0, 12, 8, 4, 14, 6, 2, 11, 13, 9]"
10,3,10002,PMX,100,100,0.8,0.01,315,"[7, 13, 5, 3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 9]"
10,4,10003,PMX,100,100,0.8,0.01,291,"[4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6]"
10,5,10004,PMX,100,100,0.8,0.01,331,"[0, 12, 1, 14, 6, 4, 8, 2, 11, 13, 9, 7, 5, 3, 10]"
10,6,10005,PMX,100,100,0.8,0.01,291,"[1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12]"
10,7,10006,PMX,100,100,0.8,0.01,355,"[10, 0, 12, 1, 7, 8, 14, 4, 6, 11, 2, 13, 9, 5, 3]"
10,8,10007,PMX,100,100,0.8,0.01,353,"[14, 8, 4, 6, 2, 11, 13, 5, 9, 1, 12, 0, 10, 3, 7]"
10,9,10008,PMX,100,100,0.8,0.01,388,"[4, 14, 12, 0, 10, 7, 9, 8, 1, 3, 5, 11, 13, 2, 6]"
10,10,10009,PMX,100,100,0.8,0.01,351,"[9, 7, 5, 3, 12, 0, 10, 1, 14, 8, 4, 6, 2, 11, 13]"
11,1,11000,OX,100,100,0.9,0.01,299,"[11, 13, 9, 7, 5, 3, 10, 0, 1, 12, 14, 8, 4, 6, 2]"
11,2,11001,OX,100,100,0.9,0.01,339,"[9, 14, 8, 4, 6, 2, 11, 13, 3, 5, 10, 0, 12, 1, 7]"
11,3,11002,OX,100,100,0.9,0.01,311,"[4, 8, 14, 1, 12, 0, 10, 5, 3, 7, 9, 13, 11, 2, 6]"
11,4,11003,OX,100,100,0.9,0.01,333,"[10, 0, 12, 14, 4, 8, 6, 2, 11, 13, 9, 1, 7, 5, 3]"
11,5,11004,OX,100,100,0.9,0.01,337,"[6, 2, 11, 7, 13, 9, 5, 3, 10, 0, 12, 1, 14, 8, 4]"
11,6,11005,OX,100,100,0.9,0.01,303,"[12, 0, 10, 3, 5, 7, 9, 11, 13, 2, 6, 4, 14, 8, 1]"
11,7,11006,OX,100,100,0.9,0.01,299,"[6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 11, 13, 2]"
11,8,11007,OX,100,100,0.9,0.01,359,"[6, 4, 14, 1, 12, 8, 0, 10, 5, 3, 7, 9, 13, 11, 2]"
11,9,11008,OX,100,100,0.9,0.01,335,"[1, 14, 4, 8, 6, 2, 11, 13, 9, 5, 7, 3, 10, 0, 12]"
11,10,11009,OX,100,100,0.9,0.01,291,"[9, 7, 5, 3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13]"
12,1,12000,PMX,100,100,0.9,0.01,324,"[11, 13, 9, 7, 5, 3, 10, 0, 1, 12, 14, 8, 6, 4, 2]"
12,2,12001,PMX,100,100,0.9,0.01,438,"[12, 0, 7, 9, 13, 5, 3, 10, 11, 6, 2, 4, 1, 8, 14]"
12,3,12002,PMX,100,100,0.9,0.01,408,"[9, 11, 2, 6, 4, 14, 8, 12, 3, 5, 13, 1, 0, 10, 7]"
12,4,12003,PMX,100,100,0.9,0.01,325,"[4, 6, 11, 13, 2, 9, 7, 5, 3, 10, 0, 12, 1, 8, 14]"
12,5,12004,PMX,100,100,0.9,0.01,362,"[13, 11, 2, 6, 4, 14, 8, 9, 1, 12, 0, 5, 3, 10, 7]"
12,6,12005,PMX,100,100,0.9,0.01,299,"[6, 2, 13, 11, 9, 7, 5, 3, 10, 0, 12, 1, 14, 8, 4]"
12,7,12006,PMX,100,100,0.9,0.01,345,"[0, 10, 3, 5, 11, 13, 2, 6, 4, 8, 14, 1, 9, 7, 12]"
12,8,12007,PMX,100,100,0.9,0.01,360,"[0, 1, 12, 14, 8, 7, 4, 6, 2, 9, 11, 13, 5, 3, 10]"
12,9,12008,PMX,100,100,0.9,0.01,307,"[7, 1, 12, 0, 10, 3, 5, 13, 11, 2, 6, 4, 14, 8, 9]"
12,10,12009,PMX,100,100,0.9,0.01,357,"[0, 12, 14, 4, 6, 8, 2, 11, 13, 9, 7, 1, 5, 3, 10]"
13,1,13000,OX,100,100,0.8,0.05,356,"[13, 9, 7, 5, 3, 1, 12, 0, 10, 14, 8, 4, 6, 2, 11]"
13,2,13001,OX,100,100,0.8,0.05,315,"[3, 5, 9, 7, 13, 11, 2, 6, 4, 8, 14, 12, 1, 0, 10]"
13,3,13002,OX,100,100,0.8,0.05,291,"[4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6]"
13,4,13003,OX,100,100,0.8,0.05,327,"[3, 5, 13, 11, 7, 9, 2, 6, 8, 4, 14, 1, 12, 0, 10]"
13,5,13004,OX,100,100,0.8,0.05,337,"[2, 13, 11, 9, 8, 7, 5, 3, 10, 0, 12, 1, 14, 4, 6]"
13,6,13005,OX,100,100,0.8,0.05,291,"[13, 11, 2, 6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 7, 9]"
13,7,13006,OX,100,100,0.8,0.05,321,"[5, 9, 13, 11, 2, 6, 4, 14, 8, 7, 1, 12, 0, 10, 3]"
13,8,13007,OX,100,100,0.8,0.05,325,"[0, 12, 1, 9, 8, 14, 4, 6, 2, 11, 13, 7, 5, 3, 10]"
13,9,13008,OX,100,100,0.8,0.05,299,"[14, 8, 4, 6, 2, 13, 11, 9, 7, 5, 3, 10, 0, 12, 1]"
13,10,13009,OX,100,100,0.8,0.05,355,"[5, 1, 7, 9, 2, 13, 11, 6, 4, 8, 14, 12, 0, 10, 3]"
14,1,14000,PMX,100,100,0.8,0.05,291,"[0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10]"
14,2,14001,PMX,100,100,0.8,0.05,291,"[5, 3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7]"
14,3,14002,PMX,100,100,0.8,0.05,321,"[5, 7, 1, 9, 13, 11, 2, 6, 4, 8, 14, 12, 0, 10, 3]"
14,4,14003,PMX,100,100,0.8,0.05,321,"[11, 13, 9, 5, 3, 10, 0, 12, 1, 7, 8, 14, 4, 6, 2]"
14,5,14004,PMX,100,100,0.8,0.05,347,"[5, 13, 11, 2, 6, 4, 8, 14, 12, 0, 10, 1, 9, 7, 3]"
14,6,14005,PMX,100,100,0.8,0.05,291,"[12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1]"
14,7,14006,PMX,100,100,0.8,0.05,339,"[8, 4, 6, 2, 9, 11, 13, 5, 3, 10, 7, 1, 0, 12, 14]"
14,8,14007,PMX,100,100,0.8,0.05,325,"[11, 13, 5, 3, 10, 0, 12, 1, 7, 8, 14, 4, 6, 2, 9]"
14,9,14008,PMX,100,100,0.8,0.05,291,"[12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1]"
14,10,14009,PMX,100,100,0.8,0.05,291,"[1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12]"
15,1,15000,OX,100,100,0.9,0.05,342,"[8, 4, 6, 2, 9, 13, 11, 5, 3, 10, 0, 7, 1, 12, 14]"
15,2,15001,OX,100,100,0.9,0.05,307,"[5, 3, 10, 0, 12, 1, 7, 9, 8, 14, 4, 6, 2, 11, 13]"
15,3,15002,OX,100,100,0.9,0.05,340,"[11, 13, 9, 7, 1, 3, 5, 10, 0, 12, 14, 8, 4, 6, 2]"
15,4,15003,OX,100,100,0.9,0.05,307,"[12, 1, 14, 8, 4, 6, 2, 11, 13, 7, 9, 5, 3, 10, 0]"
15,5,15004,OX,100,100,0.9,0.05,291,"[5, 3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7]"
15,6,15005,OX,100,100,0.9,0.05,291,"[10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0]"
15,7,15006,OX,100,100,0.9,0.05,291,"[8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4]"
15,8,15007,OX,100,100,0.9,0.05,307,"[8, 14, 1, 12, 0, 10, 3, 5, 9, 7, 13, 11, 2, 6, 4]"
15,9,15008,OX,100,100,0.9,0.05,322,"[8, 14, 1, 0, 12, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4]"
15,10,15009,OX,100,100,0.9,0.05,375,"[13, 5, 3, 0, 10, 12, 14, 4, 8, 1, 7, 9, 6, 2, 11]"
16,1,16000,PMX,100,100,0.9,0.05,291,"[8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12, 1, 14]"
16,2,16001,PMX,100,100,0.9,0.05,291,"[5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0, 10, 3]"
16,3,16002,PMX,100,100,0.9,0.05,331,"[11, 13, 5, 3, 10, 0, 12, 14, 4, 6, 8, 1, 7, 9, 2]"
16,4,16003,PMX,100,100,0.9,0.05,291,"[3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5]"
16,5,16004,PMX,100,100,0.9,0.05,333,"[14, 8, 4, 6, 2, 11, 13, 5, 3, 10, 7, 9, 1, 0, 12]"
16,6,16005,PMX,100,100,0.9,0.05,327,"[9, 7, 8, 6, 4, 14, 1, 12, 0, 10, 3, 5, 13, 11, 2]"
16,7,16006,PMX,100,100,0.9,0.05,307,"[9, 7, 1, 12, 0, 10, 3, 5, 13, 11, 2, 6, 4, 14, 8]"
16,8,16007,PMX,100,100,0.9,0.05,291,"[6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12, 1, 14, 8, 4]"
16,9,16008,PMX,100,100,0.9,0.05,331,"[2, 6, 9, 7, 1, 8, 4, 14, 12, 0, 10, 3, 5, 13, 11]"
16,10,16009,PMX,100,100,0.9,0.05,315,"[6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 13, 11, 7, 9, 2]"
